team,season,season_type,shotgun,no_huddle,qb_dropback,qb_scramble,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,first_down_pass,first_down_rush,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,rush_touchdown,pass_touchdown,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,offense_snaps,rush_snaps,pass_snaps,total_off_points,total_def_points,win,loss,tie,record,win_pct,average_shotgun,average_no_huddle,average_qb_dropback,average_qb_scramble,average_total_off_yards,average_pass_attempts,average_complete_pass,average_incomplete_pass,average_passing_yards,average_air_yards,average_receiving_yards,average_yards_after_catch,average_rush_attempts,average_rushing_yards,average_tackled_for_loss,average_first_down_pass,average_first_down_rush,average_third_down_converted,average_third_down_failed,average_fourth_down_converted,average_fourth_down_failed,average_rush_touchdown,average_pass_touchdown,average_safety,average_interception,average_fumble,average_fumble_lost,average_fumble_forced,average_fumble_not_forced,average_fumble_out_of_bounds,rush_pct,pass_pct,passing_air_yards,receiving_air_yards,receptions,receiving_touchdown,targets,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,touches,total_tds,td_pct,total_yards,yptouch
CLE,2012,REG,325.0,13.0,617.0,18.0,5261,548.0,328.0,220.0,3668.0,4258.0,3659.0,1859.0,397,1593.0,36.0,185.0,71.0,67.0,151.0,7.0,9.0,13.0,16.0,0.0,18.0,24.0,6.0,13.0,11.0,1.0,999,390,601,292.0,12.0,5.0,11.0,0.0,'5-11-0,0.312,20.3125,0.8125,38.5625,1.125,328.8125,34.25,20.5,13.75,229.25,266.125,228.6875,116.1875,24.8125,99.5625,2.25,11.5625,4.4375,4.1875,9.4375,0.4375,0.5625,0.8125,1.0,0.0,1.125,1.5,0.375,0.8125,0.6875,0.0625,0.39,0.6,4258.0,4258.0,328.0,16.0,548.0,5.27,7.77,1.0,1.0,0.599,0.033,0.029,6.69,0.029,6.68,7.77,11.16,0.033,4.01,1273.0,45.0,0.04,8920.0,7.01
DAL,2012,REG,586.0,86.0,703.0,11.0,6257,639.0,434.0,205.0,4992.0,5782.0,4992.0,1976.0,356,1265.0,40.0,237.0,76.0,93.0,119.0,8.0,3.0,10.0,29.0,0.0,19.0,21.0,11.0,12.0,9.0,0.0,1053,342,694,367.0,18.0,8.0,8.0,0.0,'8-8-0,0.5,36.625,5.375,43.9375,0.6875,391.0625,39.9375,27.125,12.8125,312.0,361.375,312.0,123.5,22.25,79.0625,2.5,14.8125,4.75,5.8125,7.4375,0.5,0.1875,0.625,1.8125,0.0,1.1875,1.3125,0.6875,0.75,0.5625,0.0,0.32,0.66,5782.0,5782.0,434.0,29.0,639.0,5.94,9.049,1.0,1.0,0.679,0.03,0.045,7.81,0.045,7.81,9.05,11.5,0.028,3.55,1429.0,68.0,0.05,11249.0,7.87
DEN,2012,POST,53.0,0.0,46.0,0.0,415,41.0,28.0,13.0,290.0,301.0,290.0,111.0,41,125.0,2.0,15.0,9.0,7.0,9.0,1.0,0.0,1.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,87,40,46,30.0,6.0,13.0,4.0,0.0,'13-4-0,0.765,41.64705882352941,8.764705882352942,38.705882352941174,0.29411764705882354,406.94117647058823,36.35294117647059,25.294117647058822,11.058823529411764,291.8235294117647,305.05882352941177,291.4117647058824,117.0,30.764705882352942,115.11764705882354,2.8823529411764706,14.529411764705882,7.117647058823529,6.0588235294117645,7.411764705882353,0.23529411764705882,0.11764705882352941,0.8235294117647058,2.3529411764705883,0.058823529411764705,0.7647058823529411,1.2941176470588236,0.8823529411764706,0.9411764705882353,0.35294117647058826,0.11764705882352941,0.46,0.53,301.0,301.0,28.0,3.0,41.0,4.77,7.341,1.0,1.0,0.683,0.049,0.073,7.07,0.073,7.07,7.34,10.36,0.024,3.05,110.0,7.0,0.06,705.0,6.41
DEN,2012,REG,655.0,149.0,612.0,5.0,6503,577.0,402.0,175.0,4671.0,4885.0,4664.0,1878.0,482,1832.0,47.0,232.0,112.0,96.0,117.0,3.0,2.0,13.0,37.0,1.0,11.0,20.0,14.0,14.0,6.0,2.0,1092,458,607,437.0,12.0,13.0,4.0,0.0,'13-4-0,0.765,41.64705882352941,8.764705882352942,38.705882352941174,0.29411764705882354,406.94117647058823,36.35294117647059,25.294117647058822,11.058823529411764,291.8235294117647,305.05882352941177,291.4117647058824,117.0,30.764705882352942,115.11764705882354,2.8823529411764706,14.529411764705882,7.117647058823529,6.0588235294117645,7.411764705882353,0.23529411764705882,0.11764705882352941,0.8235294117647058,2.3529411764705883,0.058823529411764705,0.7647058823529411,1.2941176470588236,0.8823529411764706,0.9411764705882353,0.35294117647058826,0.11764705882352941,0.42,0.56,4885.0,4885.0,402.0,37.0,577.0,5.96,8.466,16.229,14.073,0.697,0.019,0.064,8.1,0.064,8.08,8.47,11.6,0.027,3.8,1461.0,87.0,0.06,11167.0,7.64
DET,2012,REG,866.0,110.0,784.0,19.0,6752,723.0,445.0,278.0,5139.0,6458.0,5139.0,2095.0,391,1613.0,32.0,272.0,84.0,97.0,131.0,6.0,9.0,19.0,22.0,0.0,17.0,18.0,14.0,13.0,5.0,2.0,1161,387,765,388.0,36.0,4.0,12.0,0.0,'4-12-0,0.25,54.125,6.875,49.0,1.1875,422.0,45.1875,27.8125,17.375,321.1875,403.625,321.1875,130.9375,24.4375,100.8125,2.0,17.0,5.25,6.0625,8.1875,0.375,0.5625,1.1875,1.375,0.0,1.0625,1.125,0.875,0.8125,0.3125,0.125,0.33,0.66,6458.0,6458.0,445.0,22.0,723.0,5.82,8.932,1.0,1.0,0.615,0.024,0.03,7.11,0.03,7.11,8.93,11.55,0.049,4.13,1559.0,63.0,0.04,11891.0,7.63
GB,2012,POST,84.0,43.0,80.0,4.0,711,71.0,49.0,22.0,531.0,589.0,531.0,225.0,47,180.0,5.0,27.0,7.0,8.0,18.0,2.0,0.0,3.0,3.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,123,47,76,49.0,0.0,12.0,6.0,0.0,'12-6-0,0.667,41.94444444444444,14.11111111111111,40.22222222222222,2.3333333333333335,375.27777777777777,34.5,23.5,11.0,270.72222222222223,283.6111111111111,270.72222222222223,128.38888888888889,26.666666666666668,104.55555555555556,1.7777777777777777,13.333333333333334,5.111111111111111,5.444444444444445,7.833333333333333,0.5,0.3333333333333333,0.7222222222222222,2.388888888888889,0.0,0.5,1.1111111111111112,0.5,0.7222222222222222,0.3888888888888889,0.05555555555555555,0.38,0.62,589.0,589.0,49.0,3.0,71.0,5.78,8.296,1.0,1.0,0.69,0.014,0.042,7.48,0.042,7.48,8.3,10.84,0.064,3.83,167.0,9.0,0.05,1242.0,7.44
GB,2012,REG,671.0,211.0,644.0,38.0,6044,550.0,374.0,176.0,4342.0,4516.0,4342.0,2086.0,433,1702.0,27.0,213.0,85.0,90.0,123.0,7.0,6.0,10.0,40.0,0.0,8.0,17.0,8.0,11.0,6.0,1.0,1045,417,609,415.0,0.0,12.0,6.0,0.0,'12-6-0,0.667,41.94444444444444,14.11111111111111,40.22222222222222,2.3333333333333335,375.27777777777777,34.5,23.5,11.0,270.72222222222223,283.6111111111111,270.72222222222223,128.38888888888889,26.666666666666668,104.55555555555556,1.7777777777777777,13.333333333333334,5.111111111111111,5.444444444444445,7.833333333333333,0.5,0.3333333333333333,0.7222222222222222,2.388888888888889,0.0,0.5,1.1111111111111112,0.5,0.7222222222222222,0.3888888888888889,0.05555555555555555,0.4,0.58,4516.0,4516.0,374.0,40.0,550.0,5.78,8.211,7.667,7.746,0.68,0.015,0.073,7.89,0.073,7.89,8.21,11.61,0.023,3.93,1357.0,90.0,0.07,10386.0,7.65
HOU,2012,POST,50.0,5.0,91.0,2.0,854,87.0,63.0,24.0,605.0,527.0,605.0,254.0,62,249.0,3.0,32.0,13.0,12.0,20.0,3.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,153,60,89,48.0,6.0,13.0,5.0,0.0,'13-5-0,0.722,16.555555555555557,0.6666666666666666,37.5,0.2222222222222222,390.1666666666667,34.888888888888886,23.166666666666668,11.722222222222221,258.3888888888889,274.55555555555554,258.3888888888889,113.38888888888889,31.666666666666668,131.77777777777777,3.2222222222222223,13.166666666666666,7.055555555555555,5.277777777777778,8.777777777777779,0.3888888888888889,0.2777777777777778,1.2222222222222223,1.3333333333333333,0.05555555555555555,0.8333333333333334,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.2777777777777778,0.05555555555555555,0.39,0.58,527.0,527.0,63.0,2.0,87.0,5.58,6.057,1.0,1.0,0.724,0.023,0.023,6.95,0.023,6.95,6.06,9.6,0.032,4.02,212.0,6.0,0.03,1459.0,6.88
HOU,2012,REG,248.0,7.0,584.0,2.0,6169,541.0,354.0,187.0,4046.0,4415.0,4046.0,1787.0,508,2123.0,55.0,205.0,114.0,83.0,138.0,4.0,3.0,20.0,22.0,1.0,13.0,11.0,4.0,9.0,3.0,0.0,1090,491,582,390.0,0.0,13.0,5.0,0.0,'13-5-0,0.722,16.555555555555557,0.6666666666666666,37.5,0.2222222222222222,390.1666666666667,34.888888888888886,23.166666666666668,11.722222222222221,258.3888888888889,274.55555555555554,258.3888888888889,113.38888888888889,31.666666666666668,131.77777777777777,3.2222222222222223,13.166666666666666,7.055555555555555,5.277777777777778,8.777777777777779,0.3888888888888889,0.2777777777777778,1.2222222222222223,1.3333333333333333,0.05555555555555555,0.8333333333333334,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.2777777777777778,0.05555555555555555,0.45,0.53,4415.0,4415.0,354.0,22.0,541.0,5.66,8.161,8.378,6.218,0.654,0.024,0.041,7.48,0.041,7.48,8.16,11.43,0.039,4.18,1403.0,64.0,0.05,10215.0,7.28
IND,2012,POST,46.0,17.0,61.0,4.0,440,53.0,28.0,25.0,288.0,477.0,288.0,110.0,30,152.0,2.0,16.0,6.0,9.0,11.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,87,30,57,9.0,0.0,11.0,6.0,0.0,'11-6-0,0.647,33.470588235294116,4.588235294117647,44.529411764705884,2.2941176470588234,381.47058823529414,39.0,21.58823529411765,17.41176470588235,274.2352941176471,403.52941176470586,274.2352941176471,103.88235294117646,27.705882352941178,107.23529411764706,3.5294117647058822,13.176470588235293,6.823529411764706,6.294117647058823,8.352941176470589,0.4117647058823529,0.17647058823529413,0.8235294117647058,1.3529411764705883,0.0,1.1176470588235294,1.2941176470588236,0.5294117647058824,1.1764705882352942,0.11764705882352941,0.11764705882352941,0.34,0.66,477.0,477.0,28.0,0.0,53.0,5.06,9.0,1.0,1.0,0.528,0.019,0.0,5.43,0.0,5.43,9.0,10.29,0.0,5.07,111.0,0.0,0.0,728.0,6.56
IND,2012,REG,523.0,61.0,696.0,35.0,6045,610.0,339.0,271.0,4374.0,6383.0,4374.0,1656.0,441,1671.0,58.0,208.0,110.0,98.0,131.0,7.0,1.0,14.0,23.0,0.0,18.0,21.0,8.0,19.0,2.0,2.0,1111,422,662,342.0,18.0,11.0,6.0,0.0,'11-6-0,0.647,33.470588235294116,4.588235294117647,44.529411764705884,2.2941176470588234,381.47058823529414,39.0,21.58823529411765,17.41176470588235,274.2352941176471,403.52941176470586,274.2352941176471,103.88235294117646,27.705882352941178,107.23529411764706,3.5294117647058822,13.176470588235293,6.823529411764706,6.294117647058823,8.352941176470589,0.4117647058823529,0.17647058823529413,0.8235294117647058,1.3529411764705883,0.0,1.1176470588235294,1.2941176470588236,0.5294117647058824,1.1764705882352942,0.11764705882352941,0.11764705882352941,0.38,0.6,6383.0,6383.0,339.0,23.0,610.0,5.44,10.464,13.382,11.509,0.556,0.03,0.038,7.17,0.038,7.17,10.46,12.9,0.032,3.79,1390.0,60.0,0.04,10419.0,7.5
JAX,2012,REG,518.0,102.0,658.0,21.0,5115,569.0,328.0,241.0,3746.0,4996.0,3746.0,1544.0,360,1369.0,26.0,157.0,76.0,64.0,152.0,8.0,18.0,8.0,20.0,0.0,17.0,20.0,10.0,11.0,9.0,1.0,1001,355,638,272.0,30.0,2.0,14.0,0.0,'2-14-0,0.125,32.375,6.375,41.125,1.3125,319.6875,35.5625,20.5,15.0625,234.125,312.25,234.125,96.5,22.5,85.5625,1.625,9.8125,4.75,4.0,9.5,0.5,1.125,0.5,1.25,0.0,1.0625,1.25,0.625,0.6875,0.5625,0.0625,0.35,0.64,4996.0,4996.0,328.0,20.0,569.0,5.11,8.78,1.0,1.0,0.576,0.03,0.035,6.58,0.035,6.58,8.78,11.42,0.022,3.8,1257.0,48.0,0.04,8861.0,7.05
KC,2012,REG,413.0,114.0,537.0,29.0,5332,455.0,273.0,182.0,2937.0,3919.0,2937.0,1261.0,500,2395.0,54.0,144.0,118.0,70.0,142.0,7.0,8.0,11.0,8.0,0.0,20.0,25.0,16.0,17.0,8.0,1.0,1016,495,509,220.0,30.0,2.0,14.0,0.0,'2-14-0,0.125,25.8125,7.125,33.5625,1.8125,333.25,28.4375,17.0625,11.375,183.5625,244.9375,183.5625,78.8125,31.25,149.6875,3.375,9.0,7.375,4.375,8.875,0.4375,0.5,0.6875,0.5,0.0,1.25,1.5625,1.0,1.0625,0.5,0.0625,0.49,0.5,3919.0,3919.0,273.0,8.0,455.0,5.25,8.613,1.0,1.0,0.6,0.044,0.018,6.45,0.018,6.45,8.61,10.76,0.022,4.79,1228.0,27.0,0.02,8269.0,6.73
LA,2012,REG,435.0,38.0,608.0,19.0,5497,543.0,332.0,211.0,3783.0,4584.0,3779.0,1540.0,411,1714.0,38.0,189.0,79.0,67.0,142.0,13.0,11.0,5.0,22.0,0.0,14.0,21.0,8.0,14.0,7.0,1.0,1008,398,590,270.0,18.0,8.0,8.0,0.0,'8-8-0,0.5,27.1875,2.375,38.0,1.1875,343.5625,33.9375,20.75,13.1875,236.4375,286.5,236.1875,96.25,25.6875,107.125,2.375,11.8125,4.9375,4.1875,8.875,0.8125,0.6875,0.3125,1.375,0.0,0.875,1.3125,0.5,0.875,0.4375,0.0625,0.39,0.59,4584.0,4584.0,332.0,22.0,543.0,5.45,8.442,1.0,1.0,0.611,0.026,0.041,6.97,0.041,6.96,8.44,11.38,0.012,4.17,1286.0,49.0,0.04,9276.0,7.21
LAC,2012,REG,573.0,6.0,585.0,10.0,5067,513.0,338.0,175.0,3606.0,3961.0,3606.0,1796.0,411,1461.0,34.0,184.0,81.0,82.0,135.0,6.0,5.0,6.0,26.0,0.0,15.0,24.0,12.0,20.0,4.0,2.0,988,403,575,309.0,18.0,7.0,9.0,0.0,'7-9-0,0.438,35.8125,0.375,36.5625,0.625,316.6875,32.0625,21.125,10.9375,225.375,247.5625,225.375,112.25,25.6875,91.3125,2.125,11.5,5.0625,5.125,8.4375,0.375,0.3125,0.375,1.625,0.0,0.9375,1.5,0.75,1.25,0.25,0.125,0.41,0.58,3961.0,3961.0,338.0,26.0,513.0,5.13,7.721,1.0,1.0,0.659,0.029,0.051,7.03,0.051,7.03,7.72,10.67,0.015,3.55,1262.0,58.0,0.05,8673.0,6.87
LV,2012,REG,422.0,176.0,664.0,9.0,5712,613.0,376.0,237.0,4292.0,5300.0,4292.0,2027.0,376,1420.0,47.0,200.0,72.0,77.0,143.0,4.0,12.0,4.0,24.0,0.0,16.0,21.0,10.0,13.0,8.0,1.0,1035,373,655,292.0,12.0,4.0,12.0,0.0,'4-12-0,0.25,26.375,11.0,41.5,0.5625,357.0,38.3125,23.5,14.8125,268.25,331.25,268.25,126.6875,23.5,88.75,2.9375,12.5,4.5,4.8125,8.9375,0.25,0.75,0.25,1.5,0.0,1.0,1.3125,0.625,0.8125,0.5,0.0625,0.36,0.63,5300.0,5300.0,376.0,24.0,613.0,5.52,8.646,1.0,1.0,0.613,0.026,0.039,7.0,0.039,7.0,8.65,11.41,0.011,3.78,1365.0,52.0,0.04,10004.0,7.33
MIA,2012,REG,496.0,60.0,554.0,14.0,5227,491.0,293.0,198.0,3425.0,4341.0,3425.0,1271.0,440,1802.0,41.0,158.0,93.0,78.0,129.0,5.0,10.0,17.0,13.0,0.0,13.0,28.0,11.0,21.0,8.0,6.0,983,420,541,284.0,12.0,7.0,9.0,0.0,'7-9-0,0.438,31.0,3.75,34.625,0.875,326.6875,30.6875,18.3125,12.375,214.0625,271.3125,214.0625,79.4375,27.5,112.625,2.5625,9.875,5.8125,4.875,8.0625,0.3125,0.625,1.0625,0.8125,0.0,0.8125,1.75,0.6875,1.3125,0.5,0.375,0.43,0.55,4341.0,4341.0,293.0,13.0,491.0,5.32,8.841,1.0,1.0,0.597,0.026,0.026,6.98,0.026,6.98,8.84,11.69,0.039,4.1,1224.0,43.0,0.04,8652.0,7.07
