game_id,season,week,team,season_type,shotgun,no_huddle,qb_dropback,qb_scramble,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,first_down_pass,first_down_rush,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,rush_touchdown,pass_touchdown,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,total_off_points,total_def_points,extra_point,field_goal,kickoff,no_play,pass_snaps,punt,qb_kneel,qb_spike,rush_snaps,offense_snaps,st_snaps,rush_pct,pass_pct,home_win,home_loss,home_tie,away_win,away_loss,away_tie,win,loss,tie,record,win_pct,passing_air_yards,receiving_air_yards,receptions,receiving_touchdown,targets,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,touches,total_tds,td_pct,total_yards,yptouch,average_shotgun,average_no_huddle,average_qb_dropback,average_qb_scramble,average_total_off_yards,average_pass_attempts,average_complete_pass,average_incomplete_pass,average_passing_yards,average_air_yards,average_receiving_yards,average_yards_after_catch,average_rush_attempts,average_rushing_yards,average_tackled_for_loss,average_first_down_pass,average_first_down_rush,average_third_down_converted,average_third_down_failed,average_fourth_down_converted,average_fourth_down_failed,average_rush_touchdown,average_pass_touchdown,average_safety,average_interception,average_fumble,average_fumble_lost,average_fumble_forced,average_fumble_not_forced,average_fumble_out_of_bounds
2012_12_STL_ARI,2012,12,ARI,REG,41,1,54,0,386,48,31,17,312,464,312,114,23,74,2,16,6,4,9,0,2,2,0,0,4,0,0,0,0,0,19,12,2,1,6,4,54,6,0,0,23,77,15,0.3,0.7,0,1,0,0,0,0,4,7,0,'4-7-0,0.364,464,464,31,0,48,5.01,9.667,1.744,1.371,0.646,0.083,0,6.5,0,6.5,9.67,10.06,0.087,3.22,102,2,0.02,698,6.84,39.72727273,3.818181818,44.36363636,0.909090909,318.1818182,38.36363636,22.45454545,15.90909091,236.6363636,314.5454545,236.6363636,100.9090909,22.72727273,81.54545455,3.545454545,12.18181818,4.090909091,4.181818182,10.54545455,0.636363636,1,0.636363636,0.909090909,0.090909091,1.090909091,1,0.636363636,1,0,0.090909091
2012_13_ARI_NYJ,2012,13,ARI,REG,27,0,33,0,153,30,10,20,72,302,72,22,21,81,2,2,2,0,15,1,1,0,0,0,1,0,0,0,0,0,6,0,0,2,2,1,33,10,0,0,21,54,14,0.39,0.61,0,0,0,0,1,0,4,8,0,'4-8-0,0.333,302,302,10,0,30,2.83,10.067,1.135,0.857,0.333,0.033,0,2.4,0,2.4,10.07,7.2,0,3.86,61,0,0,225,3.69,38.66666667,3.5,43.41666667,0.833333333,304.4166667,37.66666667,21.41666667,16.25,222.9166667,313.5,222.9166667,94.33333333,22.58333333,81.5,3.416666667,11.33333333,3.916666667,3.833333333,10.91666667,0.666666667,1,0.583333333,0.833333333,0.083333333,1.083333333,0.916666667,0.583333333,0.916666667,0,0.083333333
2012_14_ARI_SEA,2012,14,ARI,REG,39,9,42,0,176,35,19,16,133,316,133,65,16,43,1,6,2,4,10,0,1,0,0,0,4,3,2,2,1,0,1,6,0,0,11,5,42,6,0,0,16,58,17,0.28,0.72,0,0,0,0,1,0,4,9,0,'4-9-0,0.308,316,316,19,0,35,3.03,9.029,1.188,1,0.543,0.114,0,3.8,0,3.8,9.03,7,0,2.69,70,0,0,309,4.41,38.69230769,3.923076923,43.30769231,0.769230769,294.5384615,37.46153846,21.23076923,16.23076923,216,313.6923077,216,92.07692308,22.07692308,78.53846154,3.230769231,10.92307692,3.769230769,3.846153846,10.84615385,0.615384615,1,0.538461538,0.769230769,0.076923077,1.307692308,1.076923077,0.692307692,1,0.076923077,0.076923077
2012_15_DET_ARI,2012,15,ARI,REG,21,0,23,1,203,20,14,6,104,97,104,41,29,99,5,4,6,2,10,0,0,3,0,0,1,2,1,0,2,0,26,0,5,1,3,5,22,9,0,0,29,51,18,0.57,0.43,1,0,0,0,0,0,5,9,0,'5-9-0,0.357,97,97,14,0,20,3.98,4.85,0.365,0.571,0.7,0.05,0,5.2,0,5.2,4.85,7.43,0.103,3.41,63,3,0.05,307,4.87,37.42857143,3.642857143,41.85714286,0.785714286,288,36.21428571,20.71428571,15.5,208,298.2142857,208,88.42857143,22.57142857,80,3.357142857,10.42857143,3.928571429,3.714285714,10.78571429,0.571428571,0.928571429,0.714285714,0.714285714,0.071428571,1.285714286,1.142857143,0.714285714,0.928571429,0.214285714,0.071428571
2012_16_CHI_ARI,2012,16,ARI,REG,45,1,53,0,275,47,28,19,246,377,246,64,19,29,2,14,0,3,12,1,1,0,0,0,2,5,2,2,3,1,9,12,1,2,5,4,53,8,0,0,19,72,16,0.26,0.74,0,1,0,0,0,0,5,10,0,'5-10-0,0.333,377,377,28,0,47,3.82,8.021,1.417,1.343,0.596,0.043,0,5.23,0,5.23,8.02,8.79,0,1.53,94,0,0,521,5.54,37.93333333,3.466666667,42.6,0.733333333,287.1333333,36.93333333,21.2,15.73333333,210.5333333,303.4666667,210.5333333,86.8,22.33333333,76.6,3.266666667,10.66666667,3.666666667,3.666666667,10.86666667,0.6,0.933333333,0.666666667,0.666666667,0.066666667,1.333333333,1.4,0.8,1,0.4,0.133333333
2012_17_ARI_SF,2012,17,ARI,REG,36,4,37,1,280,33,19,14,225,310,225,61,17,55,3,8,3,3,9,1,0,0,1,0,1,1,1,1,0,0,13,0,1,2,6,3,36,6,0,0,17,53,15,0.32,0.68,0,0,0,0,1,0,5,11,0,'5-11-0,0.312,310,310,19,1,33,5.28,9.394,1.165,0.943,0.576,0.03,0.03,6.82,0.03,6.82,9.39,11.84,0,3.24,69,2,0.03,505,7.32,37.8125,3.5,42.25,0.75,286.6875,36.6875,21.0625,15.625,211.4375,303.875,211.4375,85.1875,22,75.25,3.25,10.5,3.625,3.625,10.75,0.625,0.875,0.625,0.6875,0.0625,1.3125,1.375,0.8125,1,0.375,0.125
2012_01_ATL_KC,2012,1,ATL,REG,16,12,35,3,383,31,23,8,299,241,299,135,23,84,3,17,4,5,5,0,0,1,3,0,0,1,0,1,0,1,40,0,4,4,5,1,32,1,0,0,23,55,14,0.42,0.58,0,0,0,1,0,0,1,0,0,'1-0-0,1,241,241,23,3,31,6.96,7.774,1,1,0.742,0,0.097,9.65,0.097,9.65,7.77,13,0.043,3.65,77,7,0.09,682,8.86,16,12,35,3,383,31,23,8,299,241,299,135,23,84,3,17,4,5,5,0,0,1,3,0,0,1,0,1,0,1
2012_02_DEN_ATL,2012,2,ATL,REG,26,4,41,4,286,36,24,12,219,276,219,57,28,67,1,15,3,5,8,0,0,1,2,0,0,1,0,1,0,0,27,0,3,2,4,4,37,6,2,0,26,65,15,0.4,0.57,1,0,0,0,0,0,2,0,0,'2-0-0,1,276,276,24,2,36,4.4,7.667,1.145,1.161,0.667,0,0.056,6.08,0.056,6.08,7.67,9.12,0.036,2.39,88,5,0.06,505,5.74,21,8,38,3.5,334.5,33.5,23.5,10,259,258.5,259,96,25.5,75.5,2,16,3.5,5,6.5,0,0,1,2.5,0,0,1,0,1,0,0.5
2012_03_ATL_SD,2012,3,ATL,REG,21,0,43,1,394,39,30,9,275,266,275,109,27,119,1,18,5,8,5,0,0,1,3,0,1,0,0,0,0,0,27,0,3,0,2,4,42,5,0,0,27,69,10,0.39,0.61,0,0,0,1,0,0,3,0,0,'3-0-0,1,266,266,30,3,39,5.71,6.821,1.104,1.258,0.769,0.026,0.077,7.05,0.077,7.05,6.82,9.17,0.037,4.41,96,7,0.07,669,6.97,21,5.333333333,39.66666667,2.666666667,354.3333333,35.33333333,25.66666667,9.666666667,264.3333333,261,264.3333333,100.3333333,26,90,1.666666667,16.66666667,4,6,6,0,0,1,2.666666667,0,0.333333333,0.666666667,0,0.666666667,0,0.333333333
2012_04_CAR_ATL,2012,4,ATL,REG,23,8,47,0,490,39,25,14,369,407,369,145,19,121,0,14,6,5,8,0,0,0,3,0,1,0,0,0,0,0,30,0,3,3,5,4,47,5,0,0,19,66,16,0.29,0.71,1,0,0,0,0,0,4,0,0,'4-0-0,1,407,407,25,3,39,7.42,10.436,1.689,1.258,0.641,0.026,0.077,9.46,0.077,9.46,10.44,14.76,0,6.37,83,6,0.07,859,10.35,21.5,6,41.5,2,388.25,36.25,25.5,10.75,290.5,297.5,290.5,111.5,24.25,97.75,1.25,16,4.5,5.75,6.5,0,0,0.75,2.75,0,0.5,0.5,0,0.5,0,0.25
2012_05_ATL_WAS,2012,5,ATL,REG,28,12,54,1,428,51,34,17,345,497,345,118,28,83,1,21,5,9,8,0,0,1,2,0,1,1,1,0,1,0,25,6,3,1,4,4,53,6,2,0,26,81,14,0.32,0.65,0,0,0,1,0,0,5,0,0,'5-0-0,1,497,497,34,2,51,5.28,9.745,2.062,1.645,0.667,0.02,0.039,6.76,0.039,6.76,9.75,10.15,0.036,2.96,113,5,0.04,773,6.84,22.8,7.2,44,1.8,396.2,39.2,27.2,12,301.4,337.4,301.4,112.8,25,94.8,1.2,17,4.6,6.4,6.8,0,0,0.8,2.6,0,0.6,0.6,0.2,0.4,0.2,0.2
2012_06_OAK_ATL,2012,6,ATL,REG,24,16,39,1,294,34,24,10,249,312,249,93,15,45,4,11,3,2,7,0,0,0,1,0,3,0,0,0,0,0,17,0,2,4,5,3,38,4,0,0,15,53,15,0.28,0.72,1,0,0,0,0,0,6,0,0,'6-0-0,1,312,312,24,1,34,5.55,9.176,1.295,1.097,0.706,0.088,0.029,7.32,0.029,7.32,9.18,10.38,0,3,73,2,0.03,543,7.44,23,8.666666667,43.16666667,1.666666667,379.1666667,38.33333333,26.66666667,11.66666667,292.6666667,333.1666667,292.6666667,109.5,23.33333333,86.5,1.666666667,16,4.333333333,5.666666667,6.833333333,0,0,0.666666667,2.333333333,0,1,0.5,0.166666667,0.333333333,0.166666667,0.166666667
2012_08_ATL_PHI,2012,8,ATL,REG,26,4,34,3,408,29,22,7,262,117,262,178,37,146,7,14,6,7,6,0,1,0,3,0,0,1,0,1,0,0,30,0,3,3,4,9,31,2,0,0,37,68,12,0.54,0.46,0,0,0,1,0,0,7,0,0,'7-0-0,1,117,117,22,3,29,6,4.034,0.485,0.935,0.759,0,0.103,9.03,0.103,9.03,4.03,11.91,0,3.95,88,6,0.07,670,7.61,23.42857143,8,41.85714286,1.857142857,383.2857143,37,26,11,288.2857143,302.2857143,288.2857143,119.2857143,25.28571429,95,2.428571429,15.71428571,4.571428571,5.857142857,6.714285714,0,0.142857143,0.571428571,2.428571429,0,0.857142857,0.571428571,0.142857143,0.428571429,0.142857143,0.142857143
2012_09_DAL_ATL,2012,9,ATL,REG,29,1,38,1,465,34,24,10,342,280,342,148,26,123,4,16,3,7,7,0,0,1,0,0,0,1,0,1,0,0,19,0,1,6,4,4,37,2,0,0,26,63,13,0.41,0.59,1,0,0,0,0,0,8,0,0,'8-0-0,1,280,280,24,0,34,7.38,8.235,1.162,1.097,0.706,0,0,10.06,0,10.06,8.24,14.25,0.038,4.73,84,1,0.01,807,9.61,24.125,7.125,41.375,1.75,393.5,36.625,25.75,10.875,295,299.5,295,122.875,25.375,98.5,2.625,15.75,4.375,6,6.75,0,0.125,0.625,2.125,0,0.75,0.625,0.125,0.5,0.125,0.125
2012_10_ATL_NO,2012,10,ATL,REG,31,0,54,1,457,51,34,17,411,491,411,125,18,46,5,20,3,8,8,0,2,0,3,0,1,0,0,0,0,0,27,0,3,2,6,3,53,3,0,0,18,71,14,0.25,0.75,0,0,0,0,1,0,8,1,0,'8-1-0,0.889,491,491,34,3,51,6.44,9.627,2.037,1.645,0.667,0.02,0.059,8.06,0.059,8.06,9.63,12.09,0,2.56,103,6,0.06,868,8.43,24.88888889,6.333333333,42.77777778,1.666666667,400.5555556,38.22222222,26.66666667,11.55555556,307.8888889,320.7777778,307.8888889,123.1111111,24.55555556,92.66666667,2.888888889,16.22222222,4.222222222,6.222222222,6.888888889,0,0.333333333,0.555555556,2.222222222,0,0.777777778,0.555555556,0.111111111,0.444444444,0.111111111,0.111111111
2012_11_ARI_ATL,2012,11,ATL,REG,32,0,47,0,359,41,28,13,301,369,301,139,24,58,1,15,4,7,9,0,0,1,0,0,5,2,1,2,0,1,17,0,2,3,6,3,47,4,3,0,21,71,15,0.3,0.66,1,0,0,0,0,0,9,1,0,'9-1-0,0.9,369,369,28,0,41,5.06,9,1.531,1.323,0.683,0.122,0,7.34,0,7.34,9,10.75,0.042,2.42,93,1,0.01,660,7.1,25.6,5.7,43.2,1.5,396.4,38.5,26.8,11.7,307.2,325.6,307.2,124.7,24.5,89.2,2.7,16.1,4.2,6.3,7.1,0,0.3,0.6,2,0,1.2,0.7,0.2,0.6,0.1,0.2
2012_12_ATL_TB,2012,12,ATL,REG,28,0,34,1,432,31,26,5,353,219,353,191,24,79,5,13,6,8,5,0,0,2,1,0,1,1,1,1,0,0,24,0,3,3,6,3,33,1,0,0,24,57,13,0.42,0.58,0,0,0,1,0,0,10,1,0,'10-1-0,0.909,219,219,26,1,31,7.58,7.065,0.909,1,0.839,0.032,0.032,11.39,0.032,11.39,7.06,13.58,0.083,3.29,81,4,0.05,785,9.69,25.81818182,5.181818182,42.36363636,1.454545455,399.6363636,37.81818182,26.72727273,11.09090909,311.3636364,315.9090909,311.3636364,130.7272727,24.45454545,88.27272727,2.909090909,15.81818182,4.363636364,6.454545455,6.909090909,0,0.272727273,0.727272727,1.909090909,0,1.181818182,0.727272727,0.272727273,0.636363636,0.090909091,0.181818182
2012_13_NO_ATL,2012,13,ATL,REG,21,2,34,0,289,33,18,15,165,303,165,85,23,124,3,7,8,1,10,0,0,1,1,0,0,1,1,1,0,0,23,0,2,3,4,2,34,6,3,0,20,57,15,0.35,0.6,1,0,0,0,0,0,11,1,0,'11-1-0,0.917,303,303,18,1,33,5.07,9.182,1.257,1.065,0.545,0,0.03,5,0.03,5,9.18,9.17,0.043,5.39,74,3,0.04,454,6.14,25.41666667,4.916666667,41.66666667,1.333333333,390.4166667,37.41666667,26,11.41666667,299.1666667,314.8333333,299.1666667,126.9166667,24.33333333,91.25,2.916666667,15.08333333,4.666666667,6,7.166666667,0,0.25,0.75,1.833333333,0,1.083333333,0.75,0.333333333,0.666666667,0.083333333,0.166666667
2012_14_ATL_CAR,2012,14,ATL,REG,40,31,52,0,377,48,34,14,342,419,342,101,11,35,0,22,2,2,6,1,1,1,2,0,1,0,0,0,0,0,20,0,2,0,6,3,52,4,0,0,11,63,12,0.17,0.83,0,0,0,0,1,0,11,2,0,'11-2-0,0.846,419,419,34,2,48,5.98,8.729,1.739,1.548,0.708,0.021,0.042,7.12,0.042,7.12,8.73,10.06,0.091,3.18,93,5,0.05,719,7.73,26.53846154,6.923076923,42.46153846,1.230769231,389.3846154,38.23076923,26.61538462,11.61538462,302.4615385,322.8461538,302.4615385,124.9230769,23.30769231,86.92307692,2.692307692,15.61538462,4.461538462,5.692307692,7.076923077,0.076923077,0.307692308,0.769230769,1.846153846,0,1.076923077,0.692307692,0.307692308,0.615384615,0.076923077,0.153846154
2012_15_NYG_ATL,2012,15,ATL,REG,24,0,29,0,399,28,23,5,270,201,270,137,38,129,3,16,6,9,4,0,0,1,3,0,0,0,0,0,0,0,34,0,4,2,1,2,29,2,3,0,35,67,9,0.52,0.43,1,0,0,0,0,0,12,2,0,'12-2-0,0.857,201,201,23,3,28,5.96,7.179,0.834,0.903,0.821,0,0.107,9.64,0.107,9.64,7.18,11.74,0.026,3.39,89,7,0.08,669,7.52,26.35714286,6.428571429,41.5,1.142857143,390.0714286,37.5,26.35714286,11.14285714,300.1428571,314.1428571,300.1428571,125.7857143,24.35714286,89.92857143,2.714285714,15.64285714,4.571428571,5.928571429,6.857142857,0.071428571,0.285714286,0.785714286,1.928571429,0,1,0.642857143,0.285714286,0.571428571,0.071428571,0.142857143
2012_16_ATL_DET,2012,16,ATL,REG,19,3,35,2,352,32,25,7,279,270,279,145,22,73,5,15,4,6,5,0,0,0,4,1,0,0,0,0,0,0,31,0,4,1,5,2,33,4,0,0,22,55,14,0.4,0.6,0,0,0,1,0,0,13,2,0,'13-2-0,0.867,270,270,25,4,32,6.4,8.438,1.12,1.032,0.781,0,0.125,8.72,0.125,8.72,8.44,11.16,0,3.32,79,8,0.1,631,7.99,25.86666667,6.2,41.06666667,1.2,387.5333333,37.13333333,26.26666667,10.86666667,298.7333333,311.2,298.7333333,127.0666667,24.2,88.8,2.866666667,15.6,4.533333333,5.933333333,6.733333333,0.066666667,0.266666667,0.733333333,2.066666667,0.066666667,0.933333333,0.6,0.266666667,0.533333333,0.066666667,0.133333333
2012_17_TB_ATL,2012,17,ATL,REG,30,8,48,2,303,44,28,16,238,336,238,155,16,65,2,12,2,3,11,1,2,1,1,0,0,0,0,0,0,0,17,0,2,1,6,1,46,7,0,0,16,62,16,0.26,0.74,0,1,0,0,0,0,13,3,0,'13-3-0,0.812,336,336,28,1,44,4.89,7.636,1.394,1.419,0.636,0,0.023,5.41,0.023,5.41,7.64,8.5,0.062,4.06,88,3,0.03,541,6.15,26.125,6.3125,41.5,1.25,382.25,37.5625,26.375,11.1875,294.9375,312.75,294.9375,128.8125,23.6875,87.3125,2.8125,15.375,4.375,5.75,7,0.125,0.375,0.75,2,0.0625,0.875,0.5625,0.25,0.5,0.0625,0.125
2012_19_SEA_ATL,2012,19,ATL,POST,25,0,36,1,417,33,24,9,250,436,250,58,26,167,1,16,6,6,5,0,0,0,3,0,2,0,0,0,0,0,30,0,3,3,5,4,35,2,0,0,26,61,13,0.43,0.57,1,0,0,0,0,0,14,3,0,'14-3-0,0.824,436,436,24,3,33,6.84,13.212,1.809,1.065,0.727,0.061,0.091,7.58,0.091,7.58,13.21,10.42,0,6.42,83,6,0.07,667,8.04,26.05882353,5.941176471,41.17647059,1.235294118,384.2941176,37.29411765,26.23529412,11.05882353,292.2941176,320,292.2941176,124.6470588,23.82352941,92,2.705882353,15.41176471,4.470588235,5.764705882,6.882352941,0.117647059,0.352941176,0.705882353,2.058823529,0.058823529,0.941176471,0.529411765,0.235294118,0.470588235,0.058823529,0.117647059
2012_20_SF_ATL,2012,20,ATL,POST,39,3,44,1,477,41,30,11,396,484,396,63,23,81,1,21,5,5,4,0,1,0,3,0,1,1,1,0,1,0,24,0,3,1,5,1,43,2,0,0,23,66,11,0.35,0.65,0,1,0,0,0,0,14,4,0,'14-4-0,0.778,484,484,30,3,41,7.23,11.805,2.008,1.323,0.732,0.024,0.073,9.66,0.073,9.66,11.8,13.2,0,3.52,94,6,0.06,873,9.29,26.77777778,5.777777778,41.33333333,1.222222222,389.4444444,37.5,26.44444444,11.05555556,298.0555556,329.1111111,298.0555556,121.2222222,23.77777778,91.38888889,2.611111111,15.72222222,4.5,5.722222222,6.722222222,0.111111111,0.388888889,0.666666667,2.111111111,0.055555556,0.944444444,0.555555556,0.277777778,0.444444444,0.111111111,0.111111111
